"","V1","V2"
"1",0.0624656497534642,0.0782697005569179
"2",0.0625784034441899,0.0782649761999468
"3",0.0624748113268994,0.0782663303617832
"4",0.0627870260204184,0.078248060832049
"5",0.0629793184165413,0.0782457120834384
"6",0.0626545015169591,0.0782490487342131
"7",0.0628068734723409,0.0782462746277968
"8",0.0629456361360601,0.0782461698848672
"9",0.0626003159439879,0.0782575895713856
"10",0.062614445420106,0.0782520398105489
"11",0.0627919804393435,0.0782467776009601
"12",0.0630171361325253,0.0782455422005393
"13",0.0632585028271191,0.0782425378092071
"14",0.0635374420662642,0.078241844750507
"15",0.0630666684060276,0.0782428969468638
"16",0.0633325088960366,0.0782421647148607
"17",0.0630183069408757,0.0782439207679929
"18",0.0637397787396528,0.0782415961675401
"19",0.0639635011573642,0.078241321374921
"20",0.0642678374095639,0.0782412635423929
"21",0.0668905372077091,0.0782404148184438
"22",0.0644718596259493,0.0782411205945104
"23",0.0645046585764115,0.0782410279230768
"24",0.0650261157941328,0.0782408663159692
"25",0.0658322090627278,0.0782407787210703
"26",0.0658298725111808,0.0782408433859263
"27",0.0624201843724948,0.0783950282668711
